borrow_id,book_id,user_id,borrow_date,status,borrow_type
EX1-0001,6,9,2026-07-05 14:03:00,Đã trả,Mượn về nhà
EX1-0002,19,10,2026-07-20 15:57:00,Đã trả,Mượn về nhà
EX1-0003,14,10,2026-07-13 15:35:00,Đã trả,Mượn về nhà
EX1-0004,4,7,2026-07-30 15:13:00,Đã trả,Mượn về nhà
EX1-0005,29,9,2026-07-18 11:37:00,Đã trả,Mượn về nhà
EX1-0006,50,1,2026-07-17 15:00:00,Đã trả,Đọc tại chỗ
EX1-0007,18,13,2026-07-06 14:11:00,Đã trả,Mượn về nhà
EX1-0008,26,11,2026-07-10 14:25:00,Đã trả,Mượn về nhà
EX1-0009,11,2,2026-07-07 17:39:00,Đã trả,Mượn về nhà
EX1-0010,1,4,2026-07-01 13:57:00,Đã trả,Đọc tại chỗ
EX1-0011,14,7,2026-07-08 11:43:00,Đã trả,Đọc tại chỗ
EX1-0012,27,5,2026-07-19 11:30:00,Đã trả,Đọc tại chỗ
EX1-0013,9,12,2026-07-06 16:26:00,Đã trả,Đọc tại chỗ
EX1-0014,4,12,2026-07-30 17:35:00,Đã trả,Đọc tại chỗ
EX1-0015,17,6,2026-07-29 14:56:00,Đã trả,Mượn về nhà
EX1-0016,42,10,2026-07-11 15:07:00,Đã trả,Đọc tại chỗ
EX1-0017,36,4,2026-07-11 11:10:00,Đã trả,Mượn về nhà
EX1-0018,15,14,2026-07-24 17:11:00,Đã trả,Đọc tại chỗ
EX1-0019,4,11,2026-07-18 17:51:00,Đã trả,Đọc tại chỗ
EX1-0020,20,2,2026-07-02 12:13:00,Đã trả,Mượn về nhà
EX1-0021,17,4,2026-07-30 12:58:00,Đã trả,Mượn về nhà
EX1-0022,12,4,2026-07-03 14:42:00,Đã trả,Đọc tại chỗ
EX1-0023,4,7,2026-07-28 16:35:00,Đã trả,Mượn về nhà
EX1-0024,40,11,2026-07-30 16:09:00,Đã trả,Đọc tại chỗ
EX1-0025,18,8,2026-07-05 09:47:00,Đã trả,Đọc tại chỗ
EX1-0026,8,13,2026-07-28 17:04:00,Đã trả,Đọc tại chỗ
EX1-0027,7,14,2026-07-11 13:32:00,Đã trả,Đọc tại chỗ
EX1-0028,8,1,2026-07-26 17:02:00,Đã trả,Mượn về nhà
EX1-0029,9,15,2026-07-30 08:08:00,Đã trả,Đọc tại chỗ
EX1-0030,34,9,2026-07-28 08:13:00,Đã trả,Mượn về nhà
EX1-0031,4,11,2026-07-02 11:04:00,Đã trả,Mượn về nhà
EX1-0032,22,6,2026-07-03 15:53:00,Đã trả,Đọc tại chỗ
EX1-0033,9,15,2026-07-11 13:01:00,Đã trả,Mượn về nhà
EX1-0034,19,14,2026-07-19 16:01:00,Đã trả,Mượn về nhà
EX1-0035,38,6,2026-07-15 14:24:00,Đã trả,Đọc tại chỗ
EX1-0036,50,13,2026-07-15 11:40:00,Đã trả,Đọc tại chỗ
EX1-0037,19,14,2026-07-19 11:50:00,Đã trả,Mượn về nhà
EX1-0038,12,9,2026-07-19 12:08:00,Đã trả,Đọc tại chỗ
EX1-0039,7,1,2026-07-13 16:20:00,Đã trả,Mượn về nhà
EX1-0040,17,10,2026-07-09 14:36:00,Đã trả,Mượn về nhà
EX1-0041,9,10,2026-07-15 11:48:00,Đã trả,Mượn về nhà
EX1-0042,19,5,2026-07-18 12:49:00,Đã trả,Đọc tại chỗ
EX1-0043,6,2,2026-07-15 14:32:00,Đã trả,Mượn về nhà
EX1-0044,9,15,2026-07-04 10:34:00,Đã trả,Đọc tại chỗ
EX1-0045,15,1,2026-07-02 16:42:00,Đã trả,Mượn về nhà
EX1-0046,14,4,2026-07-26 15:22:00,Đã trả,Đọc tại chỗ
EX1-0047,17,13,2026-07-31 08:42:00,Đã trả,Mượn về nhà
EX1-0048,15,10,2026-07-26 17:15:00,Đã trả,Mượn về nhà
EX1-0049,7,10,2026-07-10 11:16:00,Đã trả,Mượn về nhà
EX1-0050,15,9,2026-07-19 16:35:00,Đã trả,Đọc tại chỗ
EX1-0051,1,4,2026-07-13 14:39:00,Đã trả,Đọc tại chỗ
EX1-0052,22,14,2026-07-20 11:51:00,Đã trả,Đọc tại chỗ
EX1-0053,23,10,2026-07-28 16:53:00,Đã trả,Mượn về nhà
EX1-0054,28,4,2026-07-03 17:17:00,Đã trả,Mượn về nhà
EX1-0055,19,7,2026-07-30 08:18:00,Đã trả,Đọc tại chỗ
EX1-0056,35,9,2026-07-25 08:03:00,Đã trả,Đọc tại chỗ
EX1-0057,1,13,2026-07-10 17:50:00,Đã trả,Đọc tại chỗ
EX1-0058,32,13,2026-07-04 13:09:00,Đã trả,Mượn về nhà
EX1-0059,1,4,2026-07-24 13:49:00,Đã trả,Mượn về nhà
EX1-0060,16,14,2026-07-17 15:23:00,Đã trả,Đọc tại chỗ
EX1-0061,14,1,2026-07-04 13:36:00,Đã trả,Đọc tại chỗ
EX1-0062,3,10,2026-07-16 17:49:00,Đã trả,Đọc tại chỗ
EX1-0063,15,8,2026-07-12 17:37:00,Đã trả,Mượn về nhà
EX1-0064,6,11,2026-07-22 09:55:00,Đã trả,Mượn về nhà
EX1-0065,16,4,2026-07-19 09:15:00,Đã trả,Mượn về nhà
EX1-0066,7,11,2026-07-21 12:40:00,Đã trả,Đọc tại chỗ
EX1-0067,13,15,2026-07-09 10:16:00,Đã trả,Mượn về nhà
EX1-0068,43,12,2026-07-06 12:16:00,Đã trả,Mượn về nhà
EX1-0069,5,5,2026-07-10 13:43:00,Đã trả,Đọc tại chỗ
EX1-0070,5,5,2026-07-17 13:19:00,Đã trả,Mượn về nhà
EX1-0071,50,1,2026-07-11 16:47:00,Đã trả,Mượn về nhà
EX1-0072,27,2,2026-07-14 12:40:00,Đã trả,Mượn về nhà
EX1-0073,1,11,2026-07-30 14:29:00,Đã trả,Đọc tại chỗ
EX1-0074,5,11,2026-07-04 17:50:00,Đã trả,Mượn về nhà
EX1-0075,7,2,2026-07-05 09:40:00,Đã trả,Mượn về nhà
EX1-0076,2,12,2026-07-31 15:34:00,Đã trả,Đọc tại chỗ
EX1-0077,3,14,2026-07-16 17:20:00,Đã trả,Đọc tại chỗ
EX1-0078,19,2,2026-07-22 09:10:00,Đã trả,Mượn về nhà
EX1-0079,16,3,2026-07-18 09:07:00,Đã trả,Mượn về nhà
EX1-0080,14,12,2026-07-10 08:40:00,Đã trả,Đọc tại chỗ
EX1-0081,47,6,2026-07-06 10:14:00,Đã trả,Đọc tại chỗ
EX1-0082,2,7,2026-07-23 17:21:00,Đã trả,Đọc tại chỗ
EX1-0083,4,5,2026-07-10 14:45:00,Đã trả,Mượn về nhà
EX1-0084,37,12,2026-07-02 13:49:00,Đã trả,Mượn về nhà
EX1-0085,2,11,2026-07-15 16:41:00,Đã trả,Đọc tại chỗ
EX1-0086,42,8,2026-07-24 17:46:00,Đã trả,Đọc tại chỗ
EX1-0087,15,12,2026-07-26 08:00:00,Đã trả,Mượn về nhà
EX1-0088,12,3,2026-07-27 09:58:00,Đã trả,Mượn về nhà
EX1-0089,3,5,2026-07-28 08:52:00,Đã trả,Đọc tại chỗ
EX1-0090,5,3,2026-07-31 16:44:00,Đã trả,Mượn về nhà
EX1-0091,20,6,2026-07-26 16:34:00,Đã trả,Đọc tại chỗ
EX1-0092,37,8,2026-07-15 12:28:00,Đã trả,Đọc tại chỗ
EX1-0093,37,3,2026-07-11 12:51:00,Đã trả,Đọc tại chỗ
EX1-0094,7,11,2026-07-11 12:02:00,Đã trả,Mượn về nhà
EX1-0095,9,11,2026-07-10 08:32:00,Đã trả,Mượn về nhà
EX1-0096,18,12,2026-07-28 17:03:00,Đã trả,Mượn về nhà
